S,X,T,r,div,v,n,Amercall
91.85006387,100,0.754349311,0.073504076,0.039149335,0.466567983,15000,12.1996659
125.3185446,100,0.233275476,0.032104772,0.097829974,0.51182004,15000,26.9098001
80.57734595,100,4.249917734,0.053840639,0.07377292,0.505687715,15000,20.47537466
84.65626183,100,0.361553174,0.053248325,0.08696756,0.310739862,15000,1.530427895
72.88811951,100,0.479781395,0.037619329,0.009449102,0.436925922,15000,2.111835105
90.60012006,100,3.668830353,0.040593311,0.026568588,0.186407743,15000,10.07640082
114.558687,100,0.326135755,0.023705139,0.084473586,0.149114729,15000,14.55868704
106.8520822,100,0.416210966,0.06856191,0.064490729,0.540014314,15000,17.68646187
93.64959243,100,0.234607666,0,0.061221689,0.418981767,15000,4.58382439
113.8076452,100,4.872555926,0.017305162,0.091243128,0.589181027,15000,40.74884779
110.1143074,100,0.474512335,0,0.091340486,0.397139791,15000,14.96534977
125.853595,100,1.458700709,0.043062853,0.039857017,0.162604008,15000,26.64490782
103.5526564,100,0.834807676,0.051366459,0.041297137,0.355713623,15000,14.93293014
96.7322816,100,1.228673517,0.050071274,0.060292474,0.36875715,15000,13.17576121
92.59771025,100,0.708964556,0.002701277,0.006275356,0.270443813,15000,5.421871476
105.1755791,100,2.60414707,0.032643445,0.036006478,0.473083933,15000,30.7394173
118.9216044,100,0.242925563,0.038870215,0.053743177,0.36352439,15000,20.28167246
79.69102944,100,0.364834495,0.090506974,0.067398924,0.569291704,15000,4.71143551
75.02821301,100,1.852557813,0.024222422,0.09351339,0.405237806,15000,5.981673607
75.02941697,100,0.861275869,0.008485031,0.072681274,0.42135795,15000,3.50609051
91.75962378,100,0.625110978,0,0.020163067,0.495653821,15000,10.63361717
103.6653043,100,0.889554439,0.087388684,0.054946227,0.28902145,15000,13.76730838
81.07335229,100,4.846060306,0.080181915,0.057453478,0.410078761,15000,20.62796687
88.0317403,100,1.154673554,0.045347551,0.096669619,0.430203509,15000,9.53129106
79.8586315,100,0.333343234,0,0.00304802,0.458959886,15000,2.577690267
104.3282271,100,3.077420512,0,0.01409597,0.192799972,15000,13.93405007
79.49659549,100,0.434320416,0.012049208,0.049296998,0.264479166,15000,0.556696749
116.8979305,100,0.179019473,0.097648008,0.010782967,0.579372483,15000,22.13744278
108.8722244,100,3.971972256,0.040337774,0.079409787,0.370400515,15000,25.37979886
87.88817894,100,0.224661199,0.073186534,0.066221853,0.109892553,15000,0.011279635
128.3626246,100,0.401039149,0.091442682,0.078787135,0.470184035,15000,31.76204324
84.99624078,100,0.723541211,0,0.082507152,0.427321256,15000,5.574756524
82.82126114,100,2.549644934,0.08632478,0.08649156,0.344236707,15000,10.44027954
118.9919448,100,3.54402672,0.089672982,0.009994286,0.204813967,15000,44.09729762
77.86729798,100,2.625149741,0.01481473,0.082802045,0.503088269,15000,12.82617157
114.625413,100,0.927807566,0.053275453,0.01047345,0.549647123,15000,32.11910965
101.8740402,100,3.294880382,0.068708492,0.065227119,0.405700863,15000,26.21066969
106.4375173,100,0.799955594,0,0.077071779,0.532464031,15000,19.75868396
74.15713448,100,4.924584548,0.097102686,0.086577481,0.43877701,15000,16.3504608
128.6184844,100,0.792499795,0,0.044657494,0.195007203,15000,28.61848438
72.18902256,100,0.191240438,0.06044985,0.067349946,0.401923474,15000,0.179759345
89.95768652,100,0.644223298,0.051746746,0.055460746,0.152399499,15000,1.16375322
83.57507767,100,0.80718378,0.04449068,0.055512388,0.370186235,15000,5.21839604
102.6518814,100,1.554807629,0.013098703,0.080203432,0.172098645,15000,6.426354897
115.1051574,100,0.377063542,0.088545811,0.065209644,0.114833318,15000,15.6381772
126.5322927,100,0.710982846,0.005304212,0.034433597,0.29814972,15000,27.82996905
111.587963,100,3.385096938,0.025160744,0.020361861,0.26218887,15000,25.81258384
120.5404751,100,0.373888545,0.003851511,0.016957578,0.359614907,15000,22.8063238
112.4795976,100,0.888544053,0.003869566,0.097216196,0.103595752,15000,12.47959763
87.88132318,100,0.585107875,0.092466049,0.091326675,0.118433851,15000,0.284087835
107.5746097,100,0.872218578,0.051880429,0.008113978,0.249968912,15000,16.06428551
124.5725655,100,0.882719241,0.067003067,0.069512726,0.368371421,15000,29.43175289
96.92779039,100,0.366039862,0,0.062109724,0.568547782,15000,11.00070394
100.7550739,100,1.325686174,0.060027061,0.043360581,0.499931208,15000,22.83729731
121.1342545,100,0.335697599,0.063373963,0.076792025,0.228622913,15000,21.23950581
70.15494429,100,2.145294143,0.097391211,0.0958418,0.357397333,15000,5.453771989
86.24937403,100,0.259645909,0.035127588,0.078105822,0.39030915,15000,2.203694561
129.9684545,100,0.125139484,0.064813457,0.056387916,0.407772073,15000,30.14805125
75.43656163,100,4.638313463,0.008286496,0.084774429,0.14253811,15000,0.274322989
125.1685003,100,0.584014255,0,0.065153608,0.113613903,15000,25.16850031
107.9772282,100,0.209151809,0.017654358,0.034327162,0.313039266,15000,10.50800068
125.4826484,100,0.579790115,0.098982598,0.082567796,0.490878094,15000,31.85218013
124.6106138,100,0.970103169,0.043879169,0.065199611,0.328483137,15000,27.93477521
105.3533822,100,0.191983793,0.028636294,0.040465307,0.181452245,15000,6.445654773
74.45907304,100,0.908305556,0.025009946,0.059405764,0.195169685,15000,0.253734157
121.684709,100,0.107079327,0,0.052774724,0.215844178,15000,21.68470904
96.13876518,100,0.382773073,0.088956368,0.056910807,0.311453572,15000,6.099044999
91.35979983,100,0.373066915,0.098855852,0.077477531,0.435794762,15000,6.461420972
118.7483069,100,4.170357308,0.068630351,0.016059047,0.596716489,15000,62.8961691
80.35955457,100,1.708605543,0,0.049575998,0.276457007,15000,3.679945693
73.92724105,100,0.948454974,0.030556207,0.097405707,0.406308553,15000,3.177526981
97.81026975,100,0.952434057,0.058305396,0.0312321,0.489360724,15000,18.07850522
109.1380227,100,0.955519179,0.099012439,0.058180788,0.274195529,15000,17.61758554
90.85908985,100,0.333441782,0,0.031897493,0.59273738,15000,8.509231619
114.3534558,100,2.915526543,0,0.088445909,0.565407074,15000,35.0050369
122.2153177,100,0.190305631,0.076675543,0.045654123,0.504498288,15000,24.85047015
101.3432021,100,0.236952822,0.025242109,0.04459113,0.142386258,15000,3.272213525
114.6029303,100,0.640875263,0,0.042549251,0.516415009,15000,24.14908611
119.2325183,100,0.97459933,0.072955212,0.070263228,0.469701857,15000,29.80679776
93.73308865,100,0.924785654,0.079465031,0.050230527,0.316747681,15000,9.411790966
77.46865515,100,0.750512544,0.072479401,0.039495023,0.13121613,15000,0.075425056
112.9866105,100,0.115845656,0,0.055033394,0.42711179,15000,14.30244402
88.53588732,100,0.809128796,0.008908581,0.026085732,0.553904602,15000,12.74190342
113.995128,100,3.121026547,0.041757505,0.055771398,0.527987225,15000,39.78656054
74.02903975,100,0.873555344,0,0.041368161,0.533453053,15000,6.25687999
90.22704868,100,3.870559597,0.077341163,0.072403007,0.392478792,15000,20.13634108
82.8657186,100,0.987720291,0.031792671,0.005521451,0.309689087,15000,5.188572727
72.4782379,100,0.323970729,0.077559152,0.039384865,0.222043377,15000,0.024700316
74.67615826,100,4.499254632,0.089127705,0.060732864,0.199982473,15000,6.16836613
98.71478136,100,0.831803066,0.02449565,0.024674198,0.195907573,15000,6.335450161
89.03469368,100,4.678674576,0.003619284,0.084565429,0.553362908,15000,23.96813166
84.8053141,100,0.669628909,0.048180601,0.097926178,0.257340055,15000,1.782938041
103.7272711,100,2.594600217,0,0.00213745,0.181051713,15000,13.46522753
109.4369935,100,0.618783832,0.061380962,0.029209439,0.310807417,15000,16.49601005
94.00442557,100,0.434662129,0,0.08348328,0.335787086,15000,4.736781575
78.30527282,100,0.346577643,0.021389669,0.066010277,0.404818838,15000,1.458861213
80.39986374,100,0.372833363,0.083236031,0.034387904,0.291980038,15000,1.025561916
119.3912973,100,1.663995732,0.007075345,0.051619115,0.104091547,15000,19.39129733
110.3021044,100,0.440772,0.013541436,0.097496941,0.44532461,15000,16.15572649
113.5660504,100,2.984015317,0.065581867,0.027097849,0.239306958,15000,29.09199787
115.5712495,100,0.120029063,0.015619828,0.054693058,0.362518617,15000,16.09347083
77.87490732,100,0.597186656,0.002576736,0.035896066,0.432276628,15000,3.459261377
74.44519701,100,0.259155469,0.073640399,0.013252843,0.460827324,15000,1.137848105
98.57167709,100,4.309121302,0.000117163,0.074370913,0.217187985,15000,8.159073668
84.5289979,100,0.667265985,0.048213294,0.067146288,0.448116558,15000,6.49302402
78.62306269,100,0.75635903,0.033242444,0.013310947,0.385571582,15000,4.3394818
118.8988375,100,3.563230264,0.003935769,0.087468616,0.437740215,15000,31.69797702
116.0525623,100,3.014893855,0.019767873,0.068888333,0.201115824,15000,18.03265665
118.1027267,100,0.771521535,0.043027866,0.089773975,0.330986512,15000,21.2409448
112.1173026,100,0.950157483,0.070934356,0.082339834,0.222243578,15000,15.21038087
106.9100865,100,0.341338841,0.070663299,0.021629155,0.578045559,15000,18.32516497
89.08206465,100,0.518346313,0,0.086316794,0.331755782,15000,3.452193257
70.07446419,100,0.476971584,0.062048647,0.025539853,0.198633941,15000,0.025027976
106.9282388,100,0.559137346,0.018253415,0.094291299,0.203212843,15000,8.436165326
87.96443576,100,0.579314149,0.073022138,0.020430757,0.381513961,15000,6.673751666
